INF-BLD-002,INF,BLD,"Require infrastructure systems and buildouts to be carbon neutral or carbon negative",MISSING,2,2
INF-ENR-004,INF,ENR,"End oil and coal subsidies",MISSING,2,2
INF-ENR-005,INF,ENR,"Guarantee phaseout of oil and coal for energy production",MISSING,2,2
INF-GRD-003,INF,GRD,"Require a carbon-neutral or carbon-negative power grid",MISSING,2,2
INF-RAIL-001,INF,RAIL,"Modernize the U.S. rail system",MISSING,2,2
INF-RAIL-002,INF,RAIL,"Expand high-speed rail",MISSING,2,2
INF-TRN-001,INF,TRN,"Expand public transportation systems",MISSING,2,2
INF-TRN-002,INF,TRN,"Prioritize reliable affordable and accessible public transportation in infrastructure planning",MISSING,2,2
INF-TRN-003,INF,TRN,"Phase out gasoline-only and internal-combustion-only passenger vehicles",MISSING,2,2
INF-TRN-004,INF,TRN,"Require at minimum plug-in hybrid capability during transition periods where full electrification is not yet feasible",MISSING,2,2
INF-TRN-005,INF,TRN,"Establish extremely strict fuel-efficiency standards during transition away from internal combustion vehicles",MISSING,2,2
TEC-BIO-001,TEC,BIO,"Ban use of facial recognition for dragnet surveillance in public spaces",MISSING,2,2
TEC-BIO-002,TEC,BIO,"Biometric identification systems may only be used under strict judicial authorization in narrowly defined high-necessity investigations",MISSING,2,2
TEC-BIO-003,TEC,BIO,"Ban use of AI systems that claim to infer emotion intent deception dangerousness or mental state from faces voices or body language for surveillance or law enforcement purposes",MISSING,2,2
TEC-DAT-001,TEC,DAT,"Ban or strictly limit cross-agency fusion of surveillance datasets unless specifically authorized by law subject to judicial oversight and publicly disclosed in general terms",MISSING,2,2
TEC-DAT-002,TEC,DAT,"Ban creation of secret AI-generated behavioral dossiers on individuals absent individualized legal cause and judicial process",MISSING,2,2
TEC-DAT-003,TEC,DAT,"Ban use of commercially acquired bulk location biometric or behavioral data in AI surveillance systems",MISSING,2,2
TEC-EDU-001,TEC,EDU,"AI systems in education must enhance learning without replacing human instruction critical thinking or equitable access to education",MISSING,2,2
TEC-EDU-002,TEC,EDU,"AI systems may not replace human educators in primary secondary or higher education contexts where direct instruction is required",MISSING,2,2
TEC-EDU-003,TEC,EDU,"AI systems may be used to support educators and students but may not substitute for qualified teaching or mentorship",MISSING,2,2
TEC-EDU-004,TEC,EDU,"AI systems may not be the sole basis for grading or evaluation in high-stakes academic decisions including advancement certification or disciplinary action",MISSING,2,2
TEC-EDU-005,TEC,EDU,"Students have the right to human review of AI-influenced grading or evaluation decisions",MISSING,2,2
TEC-EDU-006,TEC,EDU,"Educational institutions must establish clear policies on AI use that promote learning and prevent misuse without relying on unreliable detection systems",MISSING,2,2
TEC-EDU-007,TEC,EDU,"AI systems used in education must be evaluated for bias and must not disadvantage students based on race gender disability socioeconomic status or language background",MISSING,2,2
TEC-EDU-008,TEC,EDU,"AI tools used in education must be accessible to all students and may not create or reinforce educational inequality",MISSING,2,2
TEC-EDU-009,TEC,EDU,"Student data collected by AI systems must be limited to what is necessary for educational purposes",MISSING,2,2
TEC-EDU-010,TEC,EDU,"Student data may not be sold shared or used for advertising profiling or unrelated commercial purposes",MISSING,2,2
TEC-EDU-011,TEC,EDU,"Enhanced privacy protections are required for minors using AI systems in educational settings",MISSING,2,2
TEC-EDU-012,TEC,EDU,"Ban use of AI systems for invasive surveillance of students including continuous monitoring behavioral tracking or biometric analysis without strict justification and safeguards",MISSING,2,2
TEC-EDU-013,TEC,EDU,"AI systems may not be used to infer student emotions attention or psychological state for evaluation or discipline",MISSING,2,2
TEC-EDU-014,TEC,EDU,"Educational institutions may not use AI systems to assign behavioral or compliance scores to students",MISSING,2,2
