policyos_rule_id,scope_code,family_code,layer_type,rule_text,primary_foundation,applies_to,status
PLOS-KERN-0001,SYS,KERN,kernel,"The platform must remain complete, internally consistent, and auditable across pillars, implementation rules, and enforcement design.",Accountable Power + Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0002,SYS,KERN,kernel,"No person, office, agency, court, corporation, or contractor may be placed beyond the law or beyond accountability under the law.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0003,SYS,KERN,kernel,"Fundamental rights attach to all persons under United States jurisdiction and may not be reduced except where a distinction is explicit, narrow, reviewable, and rights-preserving.",Equal Justice + Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0004,SYS,KERN,kernel,"No system may concentrate unchecked power in any public or private actor without independent oversight, enforcement, review, and removal mechanisms.",Accountable Power + Clean Democracy,"All pillars",DRAFT_1_0
PLOS-KERN-0005,SYS,KERN,kernel,"All exercises of state or delegated authority must be attributable, logged, auditable, and reviewable.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0006,SYS,KERN,kernel,"Government authority may not be delegated to private actors in ways that reduce accountability, transparency, due process, or rights protection.",Accountable Power + Equal Justice,"All pillars",DRAFT_1_0
PLOS-KERN-0007,SYS,KERN,kernel,"Any system that affects rights, liberty, safety, access, or eligibility must be transparent, auditable, and explainable to affected people and to the public at the level appropriate to the risk.",Real Freedom + Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0008,SYS,KERN,kernel,"No system may use hidden rules, inaccessible information, trade-secret shields, or black-box procedures to determine consequential outcomes.",Real Freedom + Equal Justice,"All pillars",DRAFT_1_0
PLOS-KERN-0009,SYS,KERN,kernel,"Public decision-making must be grounded in verifiable evidence and clearly defined standards rather than secrecy, arbitrary discretion, or ideology masquerading as process.",Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0010,SYS,KERN,kernel,"No system may make or materially influence adverse decisions affecting rights, liberty, or essential access without meaningful human accountability and review.",Equal Justice + Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0011,SYS,KERN,kernel,"Systems may assist in analysis, triage, and efficiency, but they may not replace accountable human judgment in consequential decisions.",Real Freedom,"All pillars",DRAFT_1_0
PLOS-KERN-0012,SYS,KERN,kernel,"Systems must be designed to prevent bias amplification, structural unfairness, and asymmetrical process design, including fast-approval and slow-denial patterns.",Equal Justice,"All pillars",DRAFT_1_0
PLOS-KERN-0013,SYS,KERN,kernel,"Every consequential decision system must include mechanisms for challenge, appeal, correction, pause, and independent review.",Equal Justice + Accountable Power,"All pillars",DRAFT_1_0
PLOS-KERN-0014,SYS,KERN,kernel,"Access to rights and essential public systems may not be defeated in practice through administrative burden, delay, opacity, cost, or procedural complexity.",Equal Justice + Freedom to Thrive,"All pillars",DRAFT_1_0
PLOS-KERN-0015,SYS,KERN,kernel,"Systems must be designed to prevent foreseeable abuse, exploitation, corruption, and rights-violating failure modes rather than merely punishing them after harm occurs.",Accountable Power + Equal Justice,"All pillars",DRAFT_1_0
PLOS-KERN-0016,SYS,KERN,kernel,"No system may rely on deprivation, coercion, fear, or chronic precarity as a primary mechanism of compliance or control.",Freedom to Thrive + Equal Justice,"All pillars",DRAFT_1_0
