legacy_rule_id,v2_rule_id,scope_code,family_code,canonical_statement,status
SYS-AI-001,CHKS-AINL-0001,SYS,AI,"AI-assisted decision systems must not create asymmetrical processes that accelerate approvals while increasing delay scrutiny or denial likelihood for unapproved cases",MISSING
SYS-AI-002,CHKS-AINL-0002,SYS,AI,"Any decision that materially harms restricts or denies rights opportunities or access must be made through independent human judgment and may not rely on absence of AI support",MISSING
SYS-AI-003,CHKS-AINL-0003,SYS,AI,"Absence of AI recommendation or prioritization may not be used as evidence or implicit justification for denial restriction or adverse outcomes",MISSING
SYS-AI-004,CHKS-AINL-0004,SYS,AI,"All individuals must receive equal and timely consideration in decision-making systems regardless of AI prioritization or scoring",MISSING
SYS-AI-005,CHKS-AINL-0005,SYS,AI,"AI systems used in decision-making processes must include mechanisms to detect measure and mitigate bias and must be explicitly used to improve fairness where possible",MISSING
SYS-AI-006,CHKS-AINL-0006,SYS,AI,"Decision-making systems using AI must be continuously audited for bias disparate impact and unfair outcomes with corrective action required",MISSING
SYS-AI-007,CHKS-AINL-0007,SYS,AI,"Each policy domain or pillar must define its own AI system rules consistent with these overarching principles and adapted to domain-specific risks",MISSING
SYS-FED-001,CHKS-FEDS-0005,SYS,FED,"High-risk systems must not be fully centralized",INCLUDED
SYS-FED-002,CHKS-FEDS-0006,SYS,FED,"Elections remain state/local administered",INCLUDED
SYS-FED-003,CHKS-FEDS-0007,SYS,FED,"Federal sets standards but not direct control of elections",INCLUDED
SYS-FED-004,CHKS-FEDS-0008,SYS,FED,"Multiple independent oversight layers required",INCLUDED
SYS-FED-005,CHKS-FEDS-0009,SYS,FED,"Safeguards against both state and federal abuse",INCLUDED
SYS-FND-001,CHKS-FNDS-0006,SYS,FND,"Platform is both a policy framework and long-term strategy",INCLUDED
SYS-FND-002,CHKS-FNDS-0007,SYS,FND,"Restore checks and balances",INCLUDED
SYS-FND-003,CHKS-FNDS-0008,SYS,FND,"Modernize the Constitution",INCLUDED
SYS-FND-004,CHKS-FNDS-0009,SYS,FND,"Guarantee universal equal rights",INCLUDED
SYS-FND-005,CHKS-FNDS-0010,SYS,FND,"Address economic inequality structurally",INCLUDED
SYS-FND-006,CHKS-FNDS-0011,SYS,FND,"Address modern systemic issues not covered by current law",INCLUDED
SYS-FND-007,CHKS-FNDS-0012,SYS,FND,"Make technology work for people",INCLUDED
SYS-FND-008,CHKS-FNDS-0013,SYS,FND,"Movement is not left vs right",INCLUDED
SYS-FND-009,CHKS-FNDS-0014,SYS,FND,"Movement accessible to everyone",INCLUDED
SYS-FND-010,CHKS-FNDS-0015,SYS,FND,"Includes communication and coalition strategy",INCLUDED
SYS-FND-011,CHKS-FNDS-0016,SYS,FND,"Not a political party",INCLUDED
SYS-FND-012,CHKS-FNDS-0017,SYS,FND,"Origin tied to post-Trump instability concerns",INCLUDED
SYS-FND-013,CHKS-FNDS-0018,SYS,FND,"Address ignored working-class issues",INCLUDED
SYS-FND-014,CHKS-FNDS-0019,SYS,FND,"Address rising costs and declining quality of life",INCLUDED
SYS-FND-015,CHKS-FNDS-0020,SYS,FND,"Address elite detachment",INCLUDED
SYS-FND-016,CHKS-FNDS-0021,SYS,FND,"Address wealth concentration",INCLUDED
SYS-FND-017,CHKS-FNDS-0022,SYS,FND,"Address declining institutional trust",INCLUDED
SYS-FND-018,CHKS-FNDS-0023,SYS,FND,"Core values include truth equality freedom dignity",INCLUDED
SYS-GEO-001,CHKS-GEOS-0001,SYS,GEO,"Geography must not determine access to rights or care",INCLUDED
SYS-GEO-002,CHKS-GEOS-0002,SYS,GEO,"National baseline must be uniform",INCLUDED
SYS-GEO-003,CHKS-GEOS-0003,SYS,GEO,"States may not degrade federally guaranteed rights",INCLUDED
SYS-GEO-004,CHKS-GEOS-0004,SYS,GEO,"Cross-state access must be guaranteed",INCLUDED
SYS-GEO-005,CHKS-GEOS-0005,SYS,GEO,"Travel support required when local care unavailable",INCLUDED
SYS-RUL-001,CHKS-RULS-0001,SYS,RUL,"System rules ensure completeness and alignment",INCLUDED
