247,"Establish a national, uniform standard of care to prevent regional disparities in treatment availability",MISSING,pillar_9_healthcare_system.md,"No patchwork system",4,2
248,"Coverage and access to medically accepted treatments must be uniform across all states and regions",MISSING,pillar_9_healthcare_system.md,"Replaces prior “states may expand” model",4,2
249,"States may not deny or restrict access to nationally approved treatments based on political or ideological differences",MISSING,pillar_9_healthcare_system.md,"Strong anti-denial rule",4,2
250,"If a treatment is unavailable locally, patients must be allowed to access care across state lines without restriction",MISSING,pillar_9_healthcare_system.md,"Mobility guarantee",4,2
251,"If coverage is denied or unavailable locally, the system must provide travel and accommodation support to access care elsewhere",MISSING,pillar_9_healthcare_system.md,"Removes geographic inequality",2,2
254,"National standards must ensure consistent interpretation and application of evidence-based care across all regions",MISSING,pillar_9_healthcare_system.md,"Prevent local reinterpretation",2,2
255,"Geography must not determine access to fundamental rights, healthcare, or core public services",MISSING,system_rules.md,"Foundational doctrine",2,2
256,"A national baseline of rights and services must be uniformly guaranteed across all states and territories",MISSING,system_rules.md,"Constitutional-level rule",2,2
257,"States may not restrict, deny, or degrade access to federally guaranteed rights or services",MISSING,system_rules.md,"Overrides patchwork systems",2,2
258,"Individuals must be able to access rights and services across state lines without restriction",MISSING,system_rules.md,"Mobility guarantee",2,2
259,"Systems must provide logistical support (travel, tele-access, etc.) when local access is unavailable",MISSING,system_rules.md,"Anti-geographic disadvantage",2,2
260,"Federal law must preempt state law where state-level policies create unequal access to protected rights or services",MISSING,system_rules.md,"Supremacy clarification",2,2
261,"Systems with high risk of centralized abuse must not be fully controlled by a single federal authority",MISSING,system_rules.md,"Core balancing rule",2,2
262,"Elections must remain primarily administered at the state and local level to prevent centralized manipulation",MISSING,"pillar_2_elections_and_representation.md + system_rules.md","Explicit protection",2,2
263,"Federal government may set standards and enforce safeguards but must not directly control election administration",MISSING,pillar_2,"Balance rule",2,2
264,"Election systems must include multiple independent layers of oversight to prevent capture at any single level",MISSING,pillar_2,"Redundancy principle",2,2
265,"Safeguards must exist against both state-level suppression and federal-level manipulation",MISSING,pillar_2,"Dual-threat model",2,2
266,"Election administration authority must be distributed across multiple independent entities to prevent single-point control",MISSING,pillar_2,"Structural redundancy",2,2
