authoring_rule_id,family_code,rule_text,purpose,applies_to,status
PAOS-NORM-0001,NORM,"Every proposed rule must identify which named platform values from policyos_platform_values_v1.md it advances, protects, constrains, or places into tension.","Make the values layer an explicit design input rather than an implied background assumption.","All new policy rules",DRAFT_1_0
PAOS-NORM-0002,NORM,"No proposed rule may be accepted if it undermines human dignity, equal standing, real liberty, meaningful accountability, transparency, practical access, or enforceable fairness without an explicit, compelling, and reviewable justification.","Prevent structurally unjust rules from passing procedural checks.","All new policy rules",DRAFT_1_0
PAOS-NORM-0003,NORM,"Every proposed rule must be reviewed for whether it creates unequal classes of people, selective burdens, arbitrary exclusions, or second-class access in practice.","Force equality and fairness review into authoring, not just later critique.","All new policy rules",DRAFT_1_0
PAOS-NORM-0004,NORM,"Every proposed rule involving enforcement, punishment, or state power must be reviewed for whether it preserves accountability, proportionality, due process, and meaningful review.","Keep coercive power aligned with the platform’s core constraints.","Rules involving coercion, punishment, denial, or state force",DRAFT_1_0
PAOS-NORM-0005,NORM,"Every proposed rule must be reviewed for whether it creates capture opportunities, unreviewable discretion, hidden power, or conditions under which any actor becomes functionally above the law.","Make anti-capture and anti-impunity part of rule design itself.","All new policy rules",DRAFT_1_0
PAOS-NORM-0006,NORM,"Every proposed rule affecting basic needs, essential services, or rights access must be reviewed for whether it preserves practical usability, not merely formal entitlement.","Tie drafting discipline to real-world freedom and material access.","Rules affecting rights, benefits, services, and basic needs",DRAFT_1_0
PAOS-NORM-0007,NORM,"Every proposed rule with environmental, infrastructure, industrial, extractive, land-use, agricultural, health, or technological impact must be reviewed for whether it degrades ecological habitability, clean air, clean water, safe food systems, or the shared environmental conditions required for freedom and health.","Make environmental habitability a first-class normative review gate.","Rules with environmental or system-level public-health impact",DRAFT_1_0
PAOS-NORM-0008,NORM,"Where core platform values come into tension within a proposed rule, the conflict must be surfaced explicitly, named against the values document, and resolved in the drafting rather than hidden inside vague language or implementation discretion.","Force value conflicts into the open.","All rules with value tradeoffs",DRAFT_1_0
PAOS-NORM-0009,NORM,"Where a rule uses general standards, broad protective language, or open-textured terms to preserve future adaptability, that flexibility must be anchored to explicit baseline protections and stated purpose and may not be interpreted to dilute dignity, equality, liberty, transparency, accountability, enforceability, ecological protection, or the rule’s core protective intent.","Preserve future flexibility without letting vagueness undermine the law.","All rules using broad or adaptive language",DRAFT_1_0
PAOS-AUTH-0001,AUTH,"Every proposed policy rule must identify the actor being regulated, the conduct being required or prohibited, the trigger condition, and the intended outcome.","Force rules to specify who does what, when, and why.","All new policy rules",DRAFT_1_0
PAOS-AUTH-0002,AUTH,"Every proposed policy rule must specify the enforcement authority, enforcement mechanism, remedy or penalty, and review or appeal path where violations or denials are possible.","Prevent symbolic rules with no execution path.","All enforceable policy rules",DRAFT_1_0
PAOS-AUTH-0003,AUTH,"Every proposed policy rule must be written in language that is clear enough to implement, review, and audit without relying on unstated assumptions.","Reduce ambiguity and hidden discretion.","All new policy rules",DRAFT_1_0
PAOS-AUTH-0004,AUTH,"Every proposed policy rule must distinguish between the normative requirement, the implementation mechanism, and any optional examples or commentary.","Prevent mixing principle, mechanism, and prose into one undifferentiated rule.","All new policy rules",DRAFT_1_0
