pillar_slug,pillar_title,foundation,mandatory_families,conditional_families,notes
executive_power,Executive Power,Accountable Power,KERN,FEDR,"Executive power requires intergovernmental and anti-concentration design."
elections_and_representation,Elections & Representation,Accountable Power,KERN,"GEOG|FEDR","Elections need both geography-equality and federalism overlays."
anti_corruption,Anti-Corruption,Accountable Power,KERN,"REGD|ENFA","Anti-capture, audits, oversight, and enforcement escalation are central."
checks_and_balances,Checks & Balances,Accountable Power,KERN,FEDR,"Primary home for intergovernmental safeguards and anti-centralization."
courts_and_judicial_system,Courts & Judicial System,Accountable Power,KERN,"FEDR|AIGV","Judicial design is kernel-first, with federalism and AI review issues where relevant."
term_limits_and_fitness,Term Limits & Fitness,Accountable Power,KERN,,"Mostly kernel-level institutional design."
administrative_state,Administrative State,Accountable Power,KERN,"FEDR|REGD|ENFA|AIGV","Administrative design is one of the main homes for overlays."
antitrust_and_corporate_power,Antitrust & Corporate Power,Clean Democracy,KERN,"REGD|ENFA|AIGV","Needs anti-capture, enforcement architecture, and AI where platform power is relevant."
information_and_media,Information & Media,Clean Democracy,KERN,AIGV,"AI and information integrity matter; other overlays case by case."
equal_justice_and_policing,Equal Justice & Policing,Equal Justice,KERN,"GEOG|FEDR|AIGV|ENFA","Justice systems need equality, layered oversight, AI limits, and enforcement architecture."
immigration,Immigration,Equal Justice,KERN,"GEOG|FEDR|AIGV|ENFA","Immigration is highly geography-sensitive and enforcement-heavy."
rights_and_civil_liberties,Rights & Civil Liberties,Equal Justice,KERN,"GEOG|AIGV","Rights design is kernel-heavy with major geography and AI implications."
foreign_policy,Foreign Policy,Equal Justice,KERN,"FEDR|AIGV","Foreign policy needs power-allocation and AI/autonomy constraints."
gun_policy,Gun Policy,Real Freedom,KERN,ENFA,"Kernel rules plus strong enforcement architecture."
technology_and_ai,Technology & AI,Real Freedom,KERN,"REGD|ENFA|AIGV","Primary home for the full AI overlay."
consumer_rights,Consumer Rights,Real Freedom,KERN,"REGD|ENFA|AIGV","Consumer systems need anti-gatekeeping, audits, and AI rules."
healthcare,Healthcare,Freedom to Thrive,KERN,"GEOG|REGD|ENFA|AIGV","Healthcare is a core geography-equality and enforcement domain."
taxation_and_wealth,Taxation & Wealth,Freedom to Thrive,KERN,"REGD|ENFA|AIGV","Tax and wealth rules need auditability, anti-evasion, and enforcement structure."
environment_and_agriculture,Environment & Agriculture,Freedom to Thrive,KERN,"GEOG|REGD|ENFA|AIGV","Environment is one of the main domains for audits, liability, and anti-offset enforcement."
infrastructure_and_public_goods,Infrastructure & Public Goods,Freedom to Thrive,KERN,"GEOG|FEDR|REGD|ENFA|AIGV","Infrastructure implicates geography, federalism, standards, and resilience."
education,Education,Freedom to Thrive,KERN,"GEOG|AIGV|ENFA","Education needs practical-access, student-data, and accountability overlays."
labor_and_workers_rights,Labor & Workers' Rights,Freedom to Thrive,KERN,"REGD|ENFA|AIGV","Labor requires anti-extraction enforcement and platform-labor AI controls."
housing,Housing,Freedom to Thrive,KERN,"GEOG|REGD|ENFA","Housing needs geography equality, anti-scarcity design, and enforcement architecture."
legislative_reform,Legislative Reform,Accountable Power,KERN,FEDR,"Legislative design is kernel-level with federal structure implications."
science_technology_space,"Science, Technology & Space",Real Freedom,KERN,"REGD|ENFA|AIGV","Research, advanced technology, and public-interest innovation implicate AI and oversight."
