pillar_slug,pillar_title,foundation,required_policyos_families,priority_notes
executive_power,Executive Power,Accountable Power,"CORE|SAFE|ENFC|ADPT","Anti-concentration, attribution of authority, emergency-power limits, enforceable removal and review."
elections_and_representation,Elections & Representation,Accountable Power,"CORE|SAFE|GEOG|ENFC|ADPT","Federalism and anti-centralization matter here; preserve local administration with national rights baselines."
anti_corruption,Anti-Corruption,Accountable Power,"CORE|SAFE|ENFC|REGD|ADPT","Needs anti-capture, auditability, conflict prevention, and escalation mechanisms."
checks_and_balances,Checks & Balances,Accountable Power,"CORE|SAFE|ENFC|ADPT","Primary home for separation-of-powers overlays and independent review structures."
courts_and_judicial_system,Courts & Judicial System,Accountable Power,"CORE|SAFE|ENFC|ADPT","Bad-faith interpretation, challenge rights, and accountable review are central."
term_limits_and_fitness,Term Limits & Fitness,Accountable Power,"CORE|SAFE|ENFC|ADPT","Must prevent entrenchment and define usable removal / unfitness procedures."
administrative_state,Administrative State,Accountable Power,"CORE|SAFE|ENFC|REGD|ADPT|AIGV","Agency design, procurement, anti-capture, and adaptive rulemaking are central."
antitrust_and_corporate_power,Antitrust & Corporate Power,Clean Democracy,"CORE|SAFE|ENFC|REGD|THRV","Needs anti-concentration, anti-extraction, and structural-intervention enforcement."
information_and_media,Information & Media,Clean Democracy,"CORE|SAFE|ENFC|AIGV|ADPT","Transparency, manipulation defenses, provenance, and public-interest information standards."
equal_justice_and_policing,Equal Justice & Policing,Equal Justice,"CORE|SAFE|GEOG|ENFC|ADPT|AIGV","Human review, appeal, anti-bias, proportional enforcement, and anti-coercion are mandatory."
immigration,Immigration,Equal Justice,"CORE|SAFE|GEOG|ENFC|ADPT|THRV|AIGV","Must block limbo, coercion, hidden process, geography inequality, and retaliatory access denial."
rights_and_civil_liberties,Rights & Civil Liberties,Equal Justice,"CORE|SAFE|GEOG|ENFC|ADPT|THRV|AIGV","Primary home for explicit rights, anti-backsliding, and practical usability standards."
foreign_policy,Foreign Policy,Equal Justice,"CORE|SAFE|ENFC|ADPT|AIGV","Needs accountable war powers, auditability, and AI / autonomy limits in international action."
gun_policy,Gun Policy,Real Freedom,"CORE|SAFE|ENFC|ADPT","Focus on public safety, enforceability, and no hidden exceptions that defeat the rule."
technology_and_ai,Technology & AI,Real Freedom,"CORE|SAFE|ENFC|ADPT|REGD|AIGV","Primary home for the full AI-governance overlay and frontier-risk control."
consumer_rights,Consumer Rights,Real Freedom,"CORE|SAFE|ENFC|REGD|AIGV","Needs anti-fraud, transparency, challenge rights, repairability, and anti-dark-pattern logic."
healthcare,Healthcare,Freedom to Thrive,"CORE|SAFE|GEOG|ENFC|ADPT|THRV|AIGV","Rights usability, anti-denial design, travel support, and no automated harm without review."
taxation_and_wealth,Taxation & Wealth,Freedom to Thrive,"CORE|SAFE|ENFC|REGD|THRV|ADPT","Must prevent wealth concentration, avoidance gaming, symbolic enforcement, and extraction incentives."
environment_and_agriculture,Environment & Agriculture,Freedom to Thrive,"CORE|SAFE|ENFC|REGD|THRV|ADPT|AIGV","Needs auditable environmental enforcement, anti-offset rules, liability, and anti-greenwashing logic."
infrastructure_and_public_goods,Infrastructure & Public Goods,Freedom to Thrive,"CORE|SAFE|GEOG|ENFC|REGD|THRV|ADPT","Baseline access, resilience, redundancy, and anti-failure design are central."
education,Education,Freedom to Thrive,"CORE|SAFE|GEOG|ENFC|THRV|ADPT|AIGV","Needs practical access, anti-segregation, student-data protections, and no black-box harm systems."
labor_and_workers_rights,Labor & Workers' Rights,Freedom to Thrive,"CORE|SAFE|ENFC|REGD|THRV|ADPT|AIGV","Needs anti-coercion, anti-extraction, challenge rights, and platform-labor oversight."
housing,Housing,Freedom to Thrive,"CORE|SAFE|GEOG|ENFC|REGD|THRV|ADPT","Needs anti-scarcity, anti-speculation, habitability protections, and enforceable minimum standards."
legislative_reform,Legislative Reform,Accountable Power,"CORE|SAFE|ENFC|ADPT","Should institutionalize plain-language lawmaking, conflict review, and repair pathways."
science_technology_space,"Science, Technology & Space",Real Freedom,"CORE|SAFE|ENFC|ADPT|REGD|AIGV","Should inherit AI, procurement, research-safety, and public-interest innovation standards."
