210,"Mental healthcare must be included in universal healthcare coverage (psychiatric, psychological, therapy)",MISSING,pillar_9_healthcare_system.md,"Explicit requirement",2,2
211,"Covered treatments must be protected from partisan political interference",MISSING,pillar_9_healthcare_system.md,"Governance rule",2,2
212,"Coverage decisions must be grounded in evidence-based scientific research",MISSING,pillar_9_healthcare_system.md,"Needs definition of governing body",2,2
213,"Funding for clinical trials and approvals of new treatments",MISSING,pillar_9_healthcare_system.md,"Public investment",2,2
214,"Streamline approval processes for new treatments while maintaining safety",MISSING,pillar_9_healthcare_system.md,"FDA reform overlap",2,2
215,"Establish stricter quality standards for ingredients in generic medications",MISSING,pillar_9_healthcare_system.md,"Manufacturing regulation",2,2
216,"Ban non-essential common allergens in medications where not medically necessary",MISSING,pillar_9_healthcare_system.md,"Needs allergen definition",2,2
217,"Fund research on safety and efficacy of common nutritional supplements",MISSING,pillar_9_healthcare_system.md,"Regulatory expansion",2,2
218,"Create standardized labeling for supplements including full ingredient disclosure",MISSING,pillar_9_healthcare_system.md,"Transparency requirement",2,2
219,"Require lab testing transparency and quality certification for supplements",MISSING,pillar_9_healthcare_system.md,"Third-party verification",2,2
220,"Establish minimum quality and testing standards for supplements",MISSING,pillar_9_healthcare_system.md,"Regulatory baseline",2,2
221,"Require full traceability of drugs and supplements across supply chain (batch, manufacturing, shipping, handling)",MISSING,pillar_9_healthcare_system.md,"Term: “supply chain traceability”",2,2
222,"Emergency medical services must be free for all individuals, regardless of citizenship status",MISSING,pillar_9_healthcare_system.md,"Includes public safety framing",2,2
223,"Free emergency care includes ambulances, first responders, hospital care, medical supplies, and follow-up care",MISSING,pillar_9_healthcare_system.md,"Scope clarification",2,2
224,"Full healthcare coverage applies to citizens and long-term/permanent residents",MISSING,pillar_9_healthcare_system.md,"Eligibility definition",2,2
225,"Residency requirement: minimum 2 years for elective or non-life-threatening procedures",MISSING,pillar_9_healthcare_system.md,"Needs edge-case rules",2,2
226,"Exceptions to residency requirement for life-threatening or disability-causing conditions",MISSING,pillar_9_healthcare_system.md,"Safety carveout",2,2
227,"Establish an independent scientific governance body for determining covered treatments and standards of care",MISSING,"pillar_9_healthcare_system.md + pillar_14_administrative_state.md","Core structural idea",2,2
228,"Body must be insulated from partisan political control",MISSING,same,"Core requirement",2,2
229,"Appointments must be staggered to prevent single administration capture",MISSING,same,"Term staggering",2,2
230,"Appointment structure should include both federal and state-level participation",MISSING,same,"Mixed governance model",2,2
