EDU-FIN-001,EDU,FIN,"Student loan debt forgiveness or large-scale restructuring",MISSING,2,2
EDU-STD-001,EDU,STD,"Education standards must include protections against political or ideological indoctrination",MISSING,2,2
ENV-BIO-001,ENV,BIO,"Protect and restore migratory patterns for animals through infrastructure and land-use planning",MISSING,2,2
ENV-BIO-002,ENV,BIO,"Require wildlife crossings including bridges tunnels and related infrastructure where highways or railways disrupt migration routes and habitat continuity",MISSING,2,2
ENV-COR-001,ENV,COR,"Establish general anti-greenwashing standards prohibiting false misleading or selectively incomplete environmental claims by companies organizations or public entities",MISSING,2,2
ENV-COR-002,ENV,COR,"Require standardized verifiable environmental reporting to support anti-greenwashing enforcement across industries",MISSING,2,2
ENV-POL-001,ENV,POL,"Establish stronger national standards to reduce and monitor noise pollution",MISSING,2,2
ENV-POL-002,ENV,POL,"Establish stronger national standards to reduce and monitor light pollution",MISSING,2,2
ENV-SPC-001,ENV,SPC,"Establish rules for orbital sanitation and removal or mitigation of space junk",MISSING,2,2
ENV-SPC-002,ENV,SPC,"Require stronger regulation of private satellite deployment to prevent interference with scientific research astronomy and observation",MISSING,2,2
ENV-SPC-003,ENV,SPC,"Private satellite systems must meet environmental scientific and orbital-safety standards before approval and expansion",MISSING,2,2
IMM-ACC-001,IMM,ACC,"Immigration status may affect specific program eligibility but may not be used to deny emergency care basic education or other core rights-protective systems guaranteed under law",MISSING,2,2
IMM-ACC-002,IMM,ACC,"Children within United States jurisdiction must have meaningful access to education and basic developmental supports regardless of immigration status",MISSING,2,2
IMM-ACC-003,IMM,ACC,"Local access to healthcare schooling identification support and legal process should be designed so immigrants are not forced into invisibility or exploitation by bureaucratic exclusion",MISSING,2,2
IMM-ACC-004,IMM,ACC,"Public-service systems should provide clear multilingual navigation so immigrants can understand rights obligations and available resources without needing insider access",MISSING,2,2
IMM-ACC-005,IMM,ACC,"Basic access to reporting crime seeking emergency help attending school or seeking healthcare should not trigger retaliatory immigration enforcement except under narrowly defined serious circumstances",MISSING,2,2
IMM-ACC-006,IMM,ACC,"State and local institutions may not use ordinary public-service access points as covert immigration-enforcement traps",MISSING,2,2
IMM-ADM-001,IMM,ADM,"Immigration systems must be funded and staffed to reduce backlogs and delays that create injustice through prolonged uncertainty",MISSING,2,2
